Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
SLC6A1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
HS3ST6,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
GFM2,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
NMT1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
TPTE2,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
ZDHHC9,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
PPT2,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
NDST1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
MOXD1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
ABCG1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
ELOVL1,0.999999962,1.000000017,1.000000016,1.000000019,1.000000007,1.000000026,1.000000007,0.999999983,1.000000026,1.000000064,0.999999976,1.000000017,0.999999993
CA6,1.000000004,1.000000003,1.000000055,1.000000024,1.000000005,1.000000036,1.000000002,1.000000016,1.000000025,1.000000012,0.999999996,1.000000015,1
CTPS1,1.00000002,1.000000014,0.999999992,1.000000024,1.000000005,1.000000018,1,0.99999998,0.752969724,1.000000003,0.999999991,1.000000014,0.783214734
CERS6,1.000000012,1.000000014,0.999999992,1.000000026,1.000000005,1.000000018,1,0.999999986,1.000000001,1.000000003,0.999999991,1.000000014,0.999999993
PIP4K2B,1.000000012,1.000000014,0.999999992,1.000000026,1.000000005,1.000000018,1,0.999999986,1.000000001,1.000000003,0.999999991,1.000000014,0.999999993
